asset,family,near_model,far_model,animated,exact_reference_match
open-crop-terrace,industry,assets/open-crop-terrace/open-crop-terrace.gltf,assets/open-crop-terrace/open-crop-terrace-lod1.gltf,False,False
bus-window-greenhouse,industry,assets/bus-window-greenhouse/bus-window-greenhouse.gltf,assets/bus-window-greenhouse/bus-window-greenhouse-lod1.gltf,False,False
fungal-shed,industry,assets/fungal-shed/fungal-shed.gltf,assets/fungal-shed/fungal-shed-lod1.gltf,False,False
livestock-pen,industry,assets/livestock-pen/livestock-pen.gltf,assets/livestock-pen/livestock-pen-lod1.gltf,False,False
water-catcher,industry,assets/water-catcher/water-catcher.gltf,assets/water-catcher/water-catcher-lod1.gltf,False,False
scrap-sorting-yard,industry,assets/scrap-sorting-yard/scrap-sorting-yard.gltf,assets/scrap-sorting-yard/scrap-sorting-yard-lod1.gltf,False,False
shallow-mine-entrance,industry,assets/shallow-mine-entrance/shallow-mine-entrance.gltf,assets/shallow-mine-entrance/shallow-mine-entrance-lod1.gltf,False,False
deep-mine-head,industry,assets/deep-mine-head/deep-mine-head.gltf,assets/deep-mine-head/deep-mine-head-lod1.gltf,False,False
asteroid-extraction-rig,industry,assets/asteroid-extraction-rig/asteroid-extraction-rig.gltf,assets/asteroid-extraction-rig/asteroid-extraction-rig-lod1.gltf,False,False
battery-fuel-station,industry,assets/battery-fuel-station/battery-fuel-station.gltf,assets/battery-fuel-station/battery-fuel-station-lod1.gltf,False,False
clustered-storage-bins,industry,assets/clustered-storage-bins/clustered-storage-bins.gltf,assets/clustered-storage-bins/clustered-storage-bins-lod1.gltf,False,False
crew-worker,crew,assets/crew-worker/crew-worker.gltf,assets/crew-worker/crew-worker-lod1.gltf,False,False
scavenger,crew,assets/scavenger/scavenger.gltf,assets/scavenger/scavenger-lod1.gltf,False,False
citizen-harvester,crew,assets/citizen-harvester/citizen-harvester.gltf,assets/citizen-harvester/citizen-harvester-lod1.gltf,False,False
rifle-guard,crew,assets/rifle-guard/rifle-guard.gltf,assets/rifle-guard/rifle-guard-lod1.gltf,False,False
shotgun-raider,crew,assets/shotgun-raider/shotgun-raider.gltf,assets/shotgun-raider/shotgun-raider-lod1.gltf,False,False
mechanic-repair-crew,crew,assets/mechanic-repair-crew/mechanic-repair-crew.gltf,assets/mechanic-repair-crew/mechanic-repair-crew-lod1.gltf,False,False
field-medic,crew,assets/field-medic/field-medic.gltf,assets/field-medic/field-medic-lod1.gltf,False,False
settlement-hub,buildings,assets/settlement-hub/settlement-hub.gltf,assets/settlement-hub/settlement-hub-lod1.gltf,False,False
civic-shelter,buildings,assets/civic-shelter/civic-shelter.gltf,assets/civic-shelter/civic-shelter-lod1.gltf,False,False
improvised-workshop,buildings,assets/improvised-workshop/improvised-workshop.gltf,assets/improvised-workshop/improvised-workshop-lod1.gltf,False,False
command-signal-hall,buildings,assets/command-signal-hall/command-signal-hall.gltf,assets/command-signal-hall/command-signal-hall-lod1.gltf,False,False
training-yard,buildings,assets/training-yard/training-yard.gltf,assets/training-yard/training-yard-lod1.gltf,False,False
repair-garage,buildings,assets/repair-garage/repair-garage.gltf,assets/repair-garage/repair-garage-lod1.gltf,False,False
storage-hall,buildings,assets/storage-hall/storage-hall.gltf,assets/storage-hall/storage-hall-lod1.gltf,False,False
refinery-shack,buildings,assets/refinery-shack/refinery-shack.gltf,assets/refinery-shack/refinery-shack-lod1.gltf,False,False
power-core-building,buildings,assets/power-core-building/power-core-building.gltf,assets/power-core-building/power-core-building-lod1.gltf,False,False
machine-shop,buildings,assets/machine-shop/machine-shop.gltf,assets/machine-shop/machine-shop-lod1.gltf,False,False
comic-book-wall,defenses,assets/comic-book-wall/comic-book-wall.gltf,assets/comic-book-wall/comic-book-wall-lod1.gltf,False,False
car-door-wall,defenses,assets/car-door-wall/car-door-wall.gltf,assets/car-door-wall/car-door-wall-lod1.gltf,False,False
fridge-barricade,defenses,assets/fridge-barricade/fridge-barricade.gltf,assets/fridge-barricade/fridge-barricade-lod1.gltf,False,False
signplate-barricade,defenses,assets/signplate-barricade/signplate-barricade.gltf,assets/signplate-barricade/signplate-barricade-lod1.gltf,False,False
scrap-bunker,defenses,assets/scrap-bunker/scrap-bunker.gltf,assets/scrap-bunker/scrap-bunker-lod1.gltf,False,False
crane-section-watchtower,defenses,assets/crane-section-watchtower/crane-section-watchtower.gltf,assets/crane-section-watchtower/crane-section-watchtower-lod1.gltf,False,False
bathtub-turret,defenses,assets/bathtub-turret/bathtub-turret.gltf,assets/bathtub-turret/bathtub-turret-lod1.gltf,False,False
